Year,Season,Indicator,Value,stat_area,Value_var
2003,all,fvcom_bt,-0.08814739004600883,511,2.641589307777626
2003,all,fvcom_bt,-0.30976544751481133,512,4.45773366741516
2003,all,fvcom_bt,-0.54570292976297885,513,3.75126651090167
2004,all,fvcom_bt,-0.9682124557689675,511,2.509742493337898
2004,all,fvcom_bt,-0.9001767697322501,512,4.570353928591881
2004,all,fvcom_bt,-0.95759697687354,513,4.8594994256402275
2005,all,fvcom_bt,-0.5422744622401829,511,1.8136994207756325
2005,all,fvcom_bt,-0.6987417793522074,512,3.5810507171164327
2005,all,fvcom_bt,-0.6246357005226743,513,3.8446943532637596
2006,all,fvcom_bt,-0.013568555304009123,511,2.424545048144792
2006,all,fvcom_bt,0.06822522714136402,512,3.9023740008999814
2006,all,fvcom_bt,0.162989771803555,513,3.348917405623909
2007,all,fvcom_bt,-0.8195999863953269,511,3.040951868086531
2007,all,fvcom_bt,-0.7010437095137916,512,4.564584830589302
2007,all,fvcom_bt,-0.42192551514589993,513,4.553025199832057
2008,all,fvcom_bt,-0.4298128430506951,511,2.2370900543709897
2008,all,fvcom_bt,-0.377187432449925,512,2.922414962770367
2008,all,fvcom_bt,-0.22584086760544475,513,4.460444541226922
2009,all,fvcom_bt,0.01958514169389026,511,1.6746215184497524
2009,all,fvcom_bt,-0.0784847451599938,512,2.5426603554361877
2009,all,fvcom_bt,0.0014072751215181447,513,3.900846053160601
2010,all,fvcom_bt,0.651479994408211,511,1.7559380169551402
2010,all,fvcom_bt,0.6551381700197632,512,3.0964363108352893
2010,all,fvcom_bt,0.43283623561549694,513,4.198099145574655
2011,all,fvcom_bt,0.776251919907199,511,1.9301466275022798
2011,all,fvcom_bt,0.5825470196543698,512,3.8466435783738433
2011,all,fvcom_bt,0.35662381280337097,513,5.530898666357487
2012,all,fvcom_bt,1.379991427394978,511,1.7338427153047402
2012,all,fvcom_bt,1.3390597353960314,512,2.712372633742821
2012,all,fvcom_bt,1.5499862628303382,513,3.6226592951320913
2013,all,fvcom_bt,0.8306181880344341,511,1.8319488366290415
2013,all,fvcom_bt,0.5571028950462412,512,2.7276209038652834
2013,all,fvcom_bt,0.5963374265469992,513,3.302499311343222
2014,all,fvcom_bt,-0.20994428914139424,511,3.476306479369306
2014,all,fvcom_bt,0.11489955706569845,512,3.664766488789693
2014,all,fvcom_bt,-0.4619219847484453,513,6.221525370703328
2015,all,fvcom_bt,0.10086791820724066,511,2.159316483468266
2015,all,fvcom_bt,-0.3670255137489561,512,4.0403997860700755
2015,all,fvcom_bt,-0.7552505141945751,513,6.333913371828098
2016,all,fvcom_bt,0.8454035737046699,511,2.107815385892163
2016,all,fvcom_bt,0.5623043905973992,512,3.2477306069910634
2016,all,fvcom_bt,0.18800118203808983,513,5.4727664628929436
2017,all,fvcom_bt,0.45929264128934655,511,2.601498347640343
2017,all,fvcom_bt,0.5242399632306972,512,3.0408552677074745
